time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,power
06:24:00,0.0,0.0,206,84,84,84,1,42,42,42,0,0,0,37,37,37,42,42,42,42,42,30.32,30.31,0.0,0.0,0.0, nan
06:29:00,0.0,0.0,325,84,84,84,1,42,42,42,1,0,0,37,37,37,42,42,42,42,42,30.33,30.32,0.15,0.0,0.0, nan
06:34:00,0.0,0.0,222,84,84,84,1,42,42,42,0,0,0,37,37,37,42,42,42,42,42,30.32,30.32,0.0,0.0,0.0, nan
06:39:00,0.85,0.0,199,84,84,84,1,42,42,42,0,0,0,37,37,37,42,42,42,42,42,30.33,30.31,0.15,0.0,0.0, nan
06:44:00,2.08,0.0,189,84,83,83,1,42,42,42,0,0,0,37,37,37,42,42,42,42,42,30.33,30.32,0.15,0.0,0.0, nan
06:49:00,5.14,0.0,169,85,83,83,1,42,41,41,0,0,0,37,37,37,42,41,42,41,41,30.33,30.33,0.0,0.0,0.0, nan
06:54:00,8.19,0.0,193,85,85,85,1,41,41,41,0,0,0,37,36,37,41,41,41,41,41,30.34,30.33,0.0,0.0,0.0, nan
06:59:00,13.33,0.0,199,86,85,85,1,40,40,40,0,0,0,37,36,36,40,40,40,40,40,30.34,30.33,0.0,0.0,0.0, nan
07:04:00,18.6,0.0,145,86,85,85,1,40,40,40,0,0,0,36,36,36,40,40,40,40,40,30.35,30.33,0.0,0.0,0.0, nan
07:09:00,24.22,0.0,202,85,85,85,1,40,40,40,0,0,0,36,36,36,40,40,40,40,40,30.35,30.34,0.15,0.0,0.0, nan
07:14:00,30.34,0.0,183,85,84,84,1,41,40,40,0,0,0,36,36,36,41,40,41,40,40,30.35,30.35,0.0,0.0,0.0, nan
07:19:00,35.97,0.0,171,85,84,84,1,41,41,41,5,0,2,36,36,36,41,39,41,41,41,30.36,30.35,0.15,0.0,0.0, nan
07:24:00,42.45,0.0,177,85,85,85,1,41,40,40,5,0,3,36,36,36,40,39,41,40,40,30.36,30.35,0.0,0.0,0.0, nan
07:29:00,60.68,0.0,187,85,84,84,1,41,40,40,3,0,1,36,36,36,41,40,41,40,40,30.37,30.36,0.0,0.0,0.0, nan
07:34:00,72.42,0.0,205,84,83,83,1,41,41,41,3,0,1,36,36,36,41,41,41,41,41,30.37,30.36,0.15,0.0,0.0, nan
07:39:00,83.68,1.0,183,83,82,82,1,42,41,41,0,0,0,37,36,37,42,41,42,41,41,30.38,30.37,0.0,0.0,0.0, nan
07:44:00,100.19,1.0,169,82,81,81,1,42,42,42,1,0,0,37,37,37,42,42,42,42,42,30.38,30.37,0.0,0.0,0.0, nan
07:49:00,116.58,1.0,194,82,81,81,1,42,42,42,0,0,0,37,37,37,42,42,42,42,42,30.38,30.38,0.0,0.0,0.0, nan
07:54:00,124.41,1.0,206,80,79,79,1,44,43,43,1,0,0,37,37,37,44,43,44,43,43,30.39,30.38,0.0,0.0,0.0, nan
07:59:00,127.96,1.0,196,79,78,78,1,44,44,44,0,0,0,38,38,38,44,44,44,44,44,30.39,30.38,-0.15,0.0,0.0, nan
08:04:00,144.85,1.0,173,77,76,76,1,45,44,44,3,0,1,38,38,38,45,44,45,44,44,30.39,30.38,0.0,0.0,0.0, nan
08:09:00,153.9,1.0,222,76,75,75,1,45,45,45,2,0,1,38,37,38,45,45,45,45,45,30.39,30.38,0.15,0.0,0.0, nan
08:14:00,166.5,1.0,224,75,73,74,1,46,45,46,3,0,1,38,38,38,46,45,46,45,46,30.4,30.38,0.0,0.0,0.0, nan
08:19:00,177.39,2.0,202,73,71,71,1,47,46,46,6,3,4,38,38,38,47,45,47,46,46,30.4,30.39,0.0,0.0,0.0, nan
08:24:00,188.64,2.0,225,71,70,70,1,47,47,47,6,2,2,38,38,38,47,46,47,47,47,30.4,30.4,0.0,0.0,0.0, nan
08:29:00,200.75,2.0,214,71,70,70,1,47,47,47,4,3,3,38,38,38,47,46,47,47,47,30.41,30.4,0.0,0.0,0.0, nan
08:34:00,212.98,2.0,192,70,70,70,1,47,47,47,5,2,3,38,38,38,47,46,47,47,47,30.41,30.4,0.0,0.0,0.0, nan
08:39:00,231.58,2.0,183,70,69,69,1,48,48,48,0,0,0,38,38,38,48,48,48,48,48,30.41,30.4,0.15,0.0,0.0, nan
08:44:00,256.78,2.0,207,70,68,68,1,48,48,48,3,0,1,39,38,38,48,48,48,48,48,30.42,30.41,0.15,0.0,0.0, nan
08:49:00,265.83,3.0,208,70,68,69,1,48,48,48,3,0,1,39,38,39,48,48,48,48,48,30.42,30.42,0.0,0.0,0.0, nan
08:54:00,278.44,3.0,177,68,68,68,1,49,48,49,4,3,3,39,38,39,49,48,49,48,49,30.42,30.42,0.0,0.0,0.0, nan
08:59:00,321.37,3.0,186,68,67,67,1,49,49,49,5,2,3,39,38,39,49,48,49,49,49,30.43,30.41,0.3,0.0,0.0, nan
09:04:00,335.32,3.0,198,67,66,66,1,50,49,49,5,1,3,39,38,39,50,49,50,49,49,30.43,30.42,0.0,0.0,0.0, nan
09:09:00,346.57,3.0,185,65,65,65,1,50,50,50,4,3,3,39,38,38,50,49,50,50,50,30.43,30.42,0.15,0.0,0.0, nan
09:14:00,352.2,4.0,181,65,64,64,1,50,50,50,5,0,3,39,38,39,50,50,50,50,50,30.43,30.42,-0.15,0.0,0.0, nan
09:19:00,360.03,4.0,205,64,64,64,0,51,50,50,7,2,3,39,39,39,51,50,51,50,50,30.43,30.42,0.0,0.0,0.0, nan
